type,steps,infected,healthy,asymptomatic,mild,critical,deceased,vaccinated,forced_quarantine,violation,isolation,robustness,stay_home,voluntarily_stay_home_infected,self_directed_emotion,other_directed_emotion,desire_satisfaction,total_number_infections,reward
emotion,1,21.0,79.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,0.3,-0.145,0.12,0.329,0.3,-0.247
emotion,2,46.8,53.2,34.8,12.0,0.0,0.0,0.95,0.0,0.7040598290598291,0.29594017094017094,0.29594017094017094,42.15,0.4215,-0.273,0.102,0.308,0.6105,-0.454
emotion,3,36.15,63.85,13.15,22.95,0.05,0.0,1.75,0.05,0.12309820193637622,0.8769017980636238,0.8769017980636238,69.35,0.693,-0.0025,0.1945,0.347,0.6515,0.0795
emotion,4,36.5,63.5,13.15,23.1,0.25,0.0,2.95,0.05,0.29726027397260274,0.7027397260273972,0.7027397260273973,61.35,0.613,-0.1335,0.2125,0.3225,0.7395,-0.065
emotion,5,31.05,68.9,6.4,23.9,0.75,0.05,3.65,0.05,0.1497584541062802,0.8502415458937197,0.8502415458937198,62.7,0.6268134067033516,-0.1045,0.184,0.3375,0.778,-0.065
emotion,6,32.75,67.05,9.6,22.45,0.7,0.2,4.35,0.1,0.26564885496183205,0.734351145038168,0.7343511450381679,61.9,0.6192384769539078,-0.134,0.1985,0.334,0.8565,-0.0755
emotion,7,30.3,69.45,9.1,20.5,0.7,0.25,4.8,0.25,0.23267326732673266,0.7673267326732673,0.7673267326732673,61.5,0.6140350877192983,-0.1205,0.1915,0.3375,0.9215,-0.0645
emotion,8,30.95,68.75,9.95,20.1,0.9,0.3,5.5,0.05,0.27302100161550885,0.7269789983844911,0.7269789983844911,61.35,0.6148445336008024,-0.1325,0.171,0.3415,0.9965,-0.1085
emotion,9,26.75,72.8,6.9,19.1,0.75,0.45,5.9,0.05,0.20934579439252335,0.7906542056074766,0.7906542056074767,62.1,0.6233048719236565,-0.15,0.166,0.3235,1.0465,-0.173
emotion,10,29.15,70.2,10.6,17.75,0.8,0.65,6.35,0.05,0.3310463121783877,0.6689536878216124,0.6689536878216124,58.8,0.5913437342727731,-0.149,0.159,0.3395,1.1365,-0.1525
emotion,11,27.6,71.6,9.85,17.15,0.6,0.8,6.75,0.0,0.26992753623188404,0.7300724637681159,0.730072463768116,60.2,0.6068548387096775,-0.1485,0.158,0.33,1.204,-0.1695
emotion,12,23.55,75.5,6.35,16.65,0.55,0.95,7.2,0.0,0.19108280254777069,0.8089171974522293,0.8089171974522293,59.05,0.5961635537607269,-0.1405,0.1405,0.339,1.2435,-0.1775
emotion,13,22.4,76.6,5.9,15.9,0.6,1.0,7.6,0.0,0.22544642857142858,0.7745535714285715,0.7745535714285714,58.6,0.591919191919192,-0.177,0.135,0.33,1.2875,-0.24
emotion,14,21.4,77.6,5.85,15.0,0.55,1.0,7.75,0.05,0.22196261682242993,0.7780373831775701,0.7780373831775701,56.9,0.5742424242424242,-0.195,0.135,0.3275,1.3315,-0.2615
emotion,15,19.25,79.65,3.65,15.1,0.5,1.1,8.0,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571,56.0,0.5662285136501516,-0.224,0.1265,0.3165,1.3555,-0.3315
emotion,16,21.9,76.95,7.55,13.85,0.5,1.15,8.2,0.0,0.3310502283105023,0.6689497716894978,0.6689497716894978,57.6,0.582701062215478,-0.234,0.11,0.313,1.4225,-0.379
emotion,17,18.1,80.7,3.4,14.05,0.65,1.2,8.45,0.0,0.09668508287292817,0.9033149171270718,0.9033149171270718,57.95,0.5865384615384615,-0.1805,0.1235,0.3305,1.4375,-0.2625
emotion,18,20.35,78.3,7.2,12.3,0.85,1.35,8.65,0.0,0.33415233415233414,0.6658476658476659,0.6658476658476659,55.95,0.5671566142929549,-0.2265,0.106,0.326,1.5,-0.3545
emotion,19,18.2,80.35,5.25,12.1,0.85,1.45,8.95,0.05,0.19780219780219782,0.8021978021978022,0.8021978021978022,57.1,0.5788939624556063,-0.191,0.1105,0.334,1.532,-0.2915
emotion,20,18.1,80.4,7.0,10.3,0.8,1.5,9.2,0.0,0.3232044198895027,0.6767955801104972,0.6767955801104972,54.9,0.5573604060913705,-0.227,0.103,0.324,1.584,-0.3605
emotion,21,17.0,81.5,6.1,10.1,0.8,1.5,9.3,0.05,0.2823529411764706,0.7176470588235294,0.7176470588235294,55.35,0.5614213197969543,-0.2365,0.09,0.314,1.627,-0.4145
emotion,22,15.95,82.3,5.4,9.95,0.6,1.75,9.45,0.05,0.26959247648902823,0.7304075235109718,0.7304075235109718,54.95,0.5587786259541985,-0.234,0.09,0.321,1.6645,-0.4035
emotion,23,14.25,83.95,4.05,9.6,0.6,1.8,9.7,0.0,0.21403508771929824,0.7859649122807018,0.7859649122807018,54.55,0.5554989816700611,-0.212,0.0905,0.3355,1.691,-0.344
emotion,24,14.6,83.45,4.85,9.35,0.4,1.95,9.8,0.0,0.2910958904109589,0.708904109589041,0.708904109589041,53.2,0.5425803161652218,-0.256,0.082,0.318,1.729,-0.442
emotion,25,11.8,86.15,3.05,8.35,0.4,2.05,9.9,0.0,0.1864406779661017,0.8135593220338982,0.8135593220338984,54.0,0.5513016845329249,-0.242,0.0715,0.32,1.749,-0.4425
emotion,26,12.75,85.2,4.55,7.7,0.5,2.05,10.0,0.0,0.32156862745098036,0.6784313725490196,0.6784313725490196,53.45,0.5456865747830526,-0.2755,0.068,0.313,1.788,-0.4945
emotion,27,11.8,86.05,3.6,7.75,0.45,2.15,10.15,0.0,0.20338983050847456,0.7966101694915254,0.7966101694915254,51.35,0.5247828308635667,-0.258,0.074,0.321,1.809,-0.4505
emotion,28,12.95,84.85,4.5,8.05,0.4,2.2,10.15,0.05,0.3204633204633205,0.6795366795366796,0.6795366795366795,54.0,0.551635991820041,-0.2315,0.065,0.3375,1.8475,-0.407
emotion,29,11.85,85.9,3.65,7.95,0.25,2.25,10.2,0.0,0.23628691983122363,0.7637130801687765,0.7637130801687764,52.3,0.5350383631713554,-0.2555,0.068,0.3215,1.8735,-0.4565
emotion,30,11.15,86.6,3.65,7.2,0.3,2.25,10.25,0.05,0.27354260089686094,0.726457399103139,0.726457399103139,51.95,0.5309462915601023,-0.285,0.066,0.3105,1.9005,-0.5105
emotion,31,10.4,87.35,3.1,6.9,0.4,2.25,10.3,0.05,0.2548076923076923,0.7451923076923077,0.7451923076923077,52.5,0.5365728900255755,-0.2855,0.064,0.3125,1.922,-0.5115
emotion,32,12.0,85.7,5.4,6.25,0.35,2.3,10.5,0.0,0.42083333333333334,0.5791666666666667,0.5791666666666667,50.7,0.518935516888434,-0.292,0.0565,0.309,1.967,-0.5415
emotion,33,11.55,86.1,4.25,7.0,0.3,2.35,10.5,0.0,0.29004329004329005,0.7099567099567099,0.70995670995671,51.9,0.5314900153609832,-0.263,0.062,0.319,1.997,-0.481
