type,steps,infected,healthy,asymptomatic,mild,critical,deceased,vaccinated,forced_quarantine,violation,isolation,robustness,stay_home,voluntarily_stay_home_infected,self_directed_emotion,other_directed_emotion,desire_satisfaction,total_number_infections,reward
hermione,1,21.0,79.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,0.3,-0.118,0.12,0.3375,0.3,-0.203
hermione,2,29.4,70.6,17.05,12.1,0.25,0.0,22.45,0.0,0.5391156462585034,0.46088435374149667,0.4608843537414966,44.95,0.4495,-0.3585,0.0965,0.265,0.4415,-0.6355
hermione,3,24.05,75.95,8.45,15.25,0.35,0.0,28.05,0.0,0.20790020790020788,0.7920997920997921,0.7920997920997921,55.3,0.5529999999999999,-0.162,0.1255,0.3275,0.4875,-0.2565
hermione,4,24.0,75.95,8.85,14.8,0.35,0.05,34.05,0.05,0.29583333333333334,0.7041666666666666,0.7041666666666667,51.15,0.511255627813907,-0.2355,0.145,0.307,0.551,-0.333
hermione,5,23.55,76.3,8.65,14.4,0.5,0.15,38.5,0.0,0.3078556263269639,0.692144373673036,0.692144373673036,53.65,0.5373059589384076,-0.202,0.1205,0.3245,0.617,-0.314
hermione,6,23.2,76.6,8.4,14.2,0.6,0.2,43.0,0.0,0.26508620689655177,0.7349137931034483,0.7349137931034483,54.7,0.5480961923847696,-0.2035,0.142,0.3165,0.6725,-0.2875
hermione,7,20.75,78.95,6.3,13.85,0.6,0.3,47.1,0.1,0.21204819277108436,0.7879518072289158,0.7879518072289157,54.9,0.5496489468405216,-0.2345,0.1275,0.304,0.711,-0.374
hermione,8,20.8,78.75,6.9,13.35,0.55,0.45,50.5,0.0,0.2860576923076923,0.7139423076923076,0.7139423076923077,55.75,0.5600200904068308,-0.24,0.1185,0.312,0.763,-0.3815
hermione,9,15.85,83.7,2.9,12.45,0.5,0.45,53.15,0.05,0.10410094637223974,0.8958990536277602,0.8958990536277602,58.15,0.5836263184329483,-0.224,0.106,0.317,0.7765,-0.3755
hermione,10,13.8,85.6,2.35,11.1,0.35,0.6,57.25,0.05,0.12318840579710144,0.8768115942028984,0.8768115942028986,55.6,0.5588531187122736,-0.2945,0.104,0.299,0.791,-0.489
hermione,11,11.75,87.55,1.8,9.6,0.35,0.7,61.65,0.1,0.08936170212765958,0.9106382978723404,0.9106382978723404,55.9,0.5619335347432024,-0.3275,0.0895,0.2875,0.8005,-0.5715
hermione,12,10.7,88.55,2.25,8.2,0.25,0.75,64.75,0.0,0.1869158878504673,0.8130841121495327,0.8130841121495327,54.55,0.5496221662468513,-0.2975,0.076,0.313,0.818,-0.5145
hermione,13,8.35,90.9,0.85,7.3,0.2,0.75,67.3,0.0,0.0,1.0,1.0,56.4,0.5682619647355164,-0.3115,0.068,0.3055,0.818,-0.557
hermione,14,8.6,90.65,2.35,5.95,0.3,0.75,70.55,0.0,0.2616279069767442,0.7383720930232558,0.7383720930232558,55.05,0.5546599496221662,-0.316,0.0505,0.3115,0.8385,-0.5845
hermione,15,7.8,91.4,2.15,5.4,0.25,0.8,73.1,0.0,0.16666666666666669,0.8333333333333334,0.8333333333333334,56.3,0.5675403225806451,-0.3035,0.0515,0.317,0.8505,-0.56
hermione,16,6.85,92.3,1.3,5.35,0.2,0.85,75.2,0.0,0.09489051094890512,0.905109489051095,0.9051094890510949,58.15,0.5864851235501766,-0.32,0.048,0.3125,0.856,-0.592
hermione,17,7.05,92.1,2.55,4.35,0.15,0.85,77.35,0.0,0.3120567375886525,0.6879432624113475,0.6879432624113475,58.2,0.5869894099848715,-0.3445,0.0395,0.302,0.8755,-0.6535
hermione,18,5.3,93.85,1.0,4.15,0.15,0.85,79.25,0.0,0.0,1.0,1.0,59.35,0.5985879979828543,-0.3295,0.0415,0.3065,0.8755,-0.6255
hermione,19,5.05,94.05,1.2,3.75,0.1,0.9,80.9,0.0,0.16831683168316833,0.8316831683168318,0.8316831683168316,58.8,0.5933400605449042,-0.3415,0.0365,0.307,0.883,-0.6475
hermione,20,3.8,95.25,0.25,3.45,0.1,0.95,82.7,0.0,0.0,1.0,1.0,58.1,0.5865724381625442,-0.336,0.032,0.309,0.883,-0.6465
hermione,21,3.3,95.75,0.05,3.1,0.15,0.95,84.5,0.0,0.015151515151515154,0.9848484848484849,0.9848484848484849,58.9,0.5946491670873296,-0.343,0.0285,0.3115,0.883,-0.6535
hermione,22,2.95,96.1,0.3,2.45,0.2,0.95,86.1,0.0,0.10169491525423728,0.8983050847457626,0.8983050847457628,58.3,0.5885916203937406,-0.3475,0.0225,0.311,0.8855,-0.671
hermione,23,2.5,96.55,0.1,2.2,0.2,0.95,87.25,0.0,0.0,1.0,1.0,59.9,0.6047450782433115,-0.3455,0.022,0.312,0.8855,-0.668
hermione,24,2.7,96.35,0.65,1.8,0.25,0.95,88.45,0.0,0.24074074074074073,0.7592592592592592,0.7592592592592593,58.45,0.5901060070671379,-0.32,0.017,0.33,0.8915,-0.6165
hermione,25,2.1,96.95,0.35,1.5,0.25,0.95,89.3,0.0,0.07142857142857142,0.9285714285714285,0.9285714285714286,60.45,0.6102978293791015,-0.3495,0.0145,0.311,0.8925,-0.689
hermione,26,1.75,97.3,0.1,1.45,0.2,0.95,90.25,0.0,0.028571428571428574,0.9714285714285714,0.9714285714285714,60.95,0.6153457849570925,-0.303,0.0135,0.3375,0.8925,-0.5915
hermione,27,1.35,97.6,0.0,1.25,0.1,1.05,90.9,0.0,0.0,1.0,1.0,59.45,0.6008084891359273,-0.345,0.012,0.3165,0.8925,-0.6805
hermione,28,1.25,97.7,0.0,1.15,0.1,1.05,91.85,0.0,0.0,1.0,1.0,60.4,0.6104092976250631,-0.348,0.011,0.3165,0.8925,-0.6825
hermione,29,0.8,98.15,0.0,0.75,0.05,1.05,92.65,0.0,0.0,1.0,1.0,61.25,0.61899949469429,-0.355,0.0065,0.313,0.8925,-0.7055
hermione,30,0.7,98.25,0.0,0.65,0.05,1.05,93.3,0.0,0.0,1.0,1.0,61.0,0.6164729661445174,-0.329,0.0065,0.328,0.8925,-0.6495
hermione,31,0.4,98.55,0.0,0.35,0.05,1.05,93.8,0.0,0.0,1.0,1.0,61.05,0.616978271854472,-0.339,0.0035,0.3225,0.8925,-0.6765
hermione,32,0.35,98.6,0.0,0.3,0.05,1.05,94.2,0.0,0.0,1.0,1.0,60.9,0.6154623547246084,-0.3765,0.003,0.305,0.8925,-0.75
hermione,33,0.35,98.6,0.0,0.3,0.05,1.05,94.65,0.0,0.0,1.0,1.0,61.15,0.6179888832743811,-0.367,0.0025,0.31,0.8925,-0.7315
hermione,34,0.25,98.7,0.0,0.2,0.05,1.05,95.1,0.0,0.0,1.0,1.0,60.9,0.6154623547246083,-0.372,0.0015,0.307,0.8925,-0.7445
hermione,35,0.2,98.75,0.0,0.15,0.05,1.05,95.7,0.0,0.0,1.0,1.0,61.4,0.6205154118241536,-0.358,0.002,0.3145,0.8925,-0.7145
hermione,36,0.15,98.8,0.0,0.1,0.05,1.05,96.0,0.0,0.0,1.0,1.0,62.9,0.6356745831227892,-0.3985,0.0015,0.2945,0.8925,-0.796
