type,steps,infected,healthy,asymptomatic,mild,critical,deceased,vaccinated,forced_quarantine,violation,isolation,robustness,stay_home,voluntarily_stay_home_infected,self_directed_emotion,other_directed_emotion,desire_satisfaction,total_number_infections,reward
hint_prob,0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hint_prob,1,21.0,79.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,0.3,-0.136,0.12,0.3285,0.3,-0.239
hint_prob,2,37.55,62.45,26.2,11.1,0.25,0.0,0.95,0.0,0.6631158455392809,0.33688415446071907,0.33688415446071907,45.9,0.45899999999999996,-0.2175,0.0935,0.3315,0.5255,-0.36610000000000004
hint_prob,3,25.35,74.6,7.5,17.7,0.15,0.05,2.4,0.0,0.02564102564102564,0.9743589743589742,0.9743589743589743,65.6,0.6563281640820411,-0.09,0.1585,0.328,0.53,-0.11765
hint_prob,4,31.75,68.15,13.8,17.75,0.2,0.1,4.5,0.0,0.4094488188976378,0.5905511811023622,0.5905511811023622,56.55,0.566066066066066,-0.19,0.159,0.328,0.647,-0.217
hint_prob,5,25.15,74.7,4.9,19.8,0.45,0.15,5.75,0.0,0.10337972166998013,0.89662027833002,0.8966202783300199,59.85,0.599399098647972,-0.1565,0.1475,0.3135,0.67,-0.235
hint_prob,6,25.05,74.7,6.8,17.9,0.35,0.25,6.95,0.05,0.22954091816367264,0.7704590818363274,0.7704590818363274,57.9,0.5799498746867168,-0.1865,0.1605,0.321,0.7215,-0.2243
hint_prob,7,20.55,79.2,3.65,16.45,0.45,0.25,7.8,0.0,0.0827250608272506,0.9172749391727494,0.9172749391727494,58.4,0.5854636591478697,-0.141,0.158,0.35,0.736,-0.12315000000000001
hint_prob,8,22.5,77.15,6.85,14.8,0.85,0.35,8.95,0.0,0.2977777777777778,0.7022222222222223,0.7022222222222222,55.8,0.5599598595082789,-0.2355,0.126,0.3175,0.7975,-0.34864999999999996
hint_prob,9,20.2,79.45,5.55,13.85,0.8,0.35,9.65,0.0,0.20792079207920794,0.7920792079207921,0.7920792079207921,58.0,0.5820371299548419,-0.2025,0.1295,0.3255,0.8355,-0.28964999999999996
hint_prob,10,18.7,80.75,5.25,12.7,0.75,0.55,10.0,0.05,0.21390374331550802,0.786096256684492,0.786096256684492,55.1,0.5535444947209652,-0.201,0.125,0.337,0.872,-0.2785
hint_prob,11,18.0,81.25,5.4,12.0,0.6,0.75,10.75,0.0,0.2361111111111111,0.7638888888888888,0.7638888888888888,54.25,0.5465994962216625,-0.2295,0.105,0.324,0.909,-0.36995
hint_prob,12,16.75,82.3,4.9,11.55,0.3,0.95,11.3,0.0,0.22686567164179103,0.7731343283582089,0.7731343283582089,55.55,0.5608278647147905,-0.2395,0.096,0.317,0.944,-0.41164999999999996
