type,steps,infected,healthy,asymptomatic,mild,critical,deceased,vaccinated,forced_quarantine,violation,isolation,robustness,stay_home,voluntarily_stay_home_infected,self_directed_emotion,other_directed_emotion,desire_satisfaction,total_number_infections,reward
message,1,18.0,82.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,0.3,0.0,0.0,0.3205,0.3,-0.279
message,2,32.2,67.8,21.25,10.9,0.05,0.0,0.35,0.0,0.6925465838509316,0.3074534161490683,0.30745341614906835,65.0,0.65,0.0,0.0,0.366,0.4985,-0.19075
message,3,48.7,51.3,32.95,15.55,0.2,0.0,1.15,0.1,0.7299794661190964,0.27002053388090347,0.27002053388090347,46.6,0.465,0.0,0.0,0.33,0.759,-0.25825
message,4,48.25,51.7,25.3,22.35,0.6,0.05,1.55,0.45,0.4466321243523316,0.5533678756476684,0.5533678756476684,65.7,0.6528264132066033,0.0,0.0,0.319,0.898,-0.191
message,5,49.8,50.1,22.3,26.65,0.85,0.1,2.95,0.55,0.464859437751004,0.535140562248996,0.535140562248996,64.1,0.6361361361361361,0.0,0.0,0.328,1.0505,-0.18475
message,6,50.75,49.05,20.95,29.0,0.8,0.2,3.85,0.55,0.412807881773399,0.587192118226601,0.587192118226601,68.1,0.6768537074148296,0.0,0.0,0.3345,1.1955,-0.14175
message,7,56.25,43.5,24.35,30.95,0.95,0.25,4.85,0.5,0.44533333333333336,0.5546666666666666,0.5546666666666666,67.15,0.668170426065163,0.0,0.0,0.3255,1.3725,-0.13875
message,8,59.65,40.0,24.35,34.3,1.0,0.35,5.65,0.95,0.41240569991617776,0.5875943000838223,0.5875943000838223,69.4,0.686904164576016,0.0,0.0,0.3375,1.5375,-0.09825
message,9,61.0,38.4,24.55,35.6,0.85,0.6,6.4,0.65,0.41065573770491803,0.589344262295082,0.589344262295082,68.75,0.6851106639839033,0.0,0.0,0.3255,1.6985,-0.07825
message,10,62.1,37.3,24.05,37.2,0.85,0.6,7.05,0.45,0.37198067632850246,0.6280193236714976,0.6280193236714976,71.05,0.7102615694164989,0.0,0.0,0.3305,1.8585,-0.06025
message,11,59.45,39.75,20.35,38.2,0.9,0.8,7.65,0.5,0.3633305298570227,0.6366694701429773,0.6366694701429773,71.85,0.7192540322580644,0.0,0.0,0.344,2.0005,-0.05275
message,12,59.45,39.5,22.1,36.4,0.95,1.05,8.5,0.35,0.3725820016820857,0.6274179983179141,0.6274179983179142,71.0,0.7139969681657403,0.0,0.0,0.325,2.147,-0.0765
message,13,61.65,37.15,22.4,38.15,1.1,1.2,9.05,0.65,0.36901865369018655,0.6309813463098135,0.6309813463098135,70.2,0.7039473684210527,0.0,0.0,0.3285,2.3,-0.076
message,14,59.7,38.85,20.35,38.4,0.95,1.45,9.45,0.8,0.33082077051926295,0.669179229480737,0.669179229480737,73.5,0.7376966007102993,0.0,0.0,0.344,2.426,-0.04025
message,15,60.45,38.0,21.85,37.0,1.6,1.55,10.0,0.4,0.36889991728701405,0.6311000827129859,0.6311000827129859,71.2,0.7191467750126967,0.0,0.0,0.3145,2.581,-0.10475
message,16,59.1,39.1,20.2,37.15,1.75,1.8,10.5,0.8,0.3341793570219966,0.6658206429780034,0.6658206429780034,72.95,0.734725050916497,0.0,0.0,0.328,2.7135,-0.06825
message,17,56.6,41.25,19.2,35.95,1.45,2.15,11.0,0.8,0.3586572438162544,0.6413427561837455,0.6413427561837456,71.05,0.717935615738375,0.0,0.0,0.306,2.8475,-0.12125
message,18,56.7,40.9,20.4,34.75,1.55,2.4,11.75,0.55,0.3509700176366843,0.6490299823633157,0.6490299823633157,70.3,0.7146516393442623,0.0,0.0,0.338,2.9815,-0.03
message,19,58.75,38.75,22.25,35.1,1.4,2.5,11.9,0.4,0.37617021276595747,0.6238297872340425,0.6238297872340426,69.55,0.7092307692307693,0.0,0.0,0.324,3.135,-0.0695
message,20,59.15,38.15,21.55,36.35,1.25,2.7,12.25,0.6,0.3634826711749789,0.6365173288250211,0.6365173288250211,69.8,0.7112024665981501,0.0,0.0,0.323,3.283,-0.07325
message,21,58.8,38.25,21.75,36.05,1.0,2.95,12.5,0.45,0.36649659863945583,0.6335034013605443,0.6335034013605442,70.65,0.7233384853168471,0.0,0.0,0.311,3.4315,-0.083
message,22,57.9,39.05,20.95,35.9,1.05,3.05,12.85,0.6,0.3609671848013817,0.6390328151986183,0.6390328151986183,71.3,0.7292418772563178,0.0,0.0,0.3145,3.5785,-0.08475
message,23,56.7,39.85,21.0,34.75,0.95,3.45,13.15,0.6,0.36596119929453264,0.6340388007054674,0.6340388007054674,69.8,0.7167270844122215,0.0,0.0,0.3165,3.719,-0.085
message,24,55.15,41.3,19.35,34.75,1.05,3.55,13.5,0.5,0.3445149592021759,0.6554850407978241,0.6554850407978241,70.15,0.7221358216692588,0.0,0.0,0.3245,3.851,-0.0615
message,25,54.85,41.6,19.6,34.1,1.15,3.55,13.85,0.55,0.36280765724703734,0.6371923427529627,0.6371923427529627,69.85,0.71850699844479,0.0,0.0,0.327,3.9865,-0.0725
message,26,55.0,40.95,20.7,33.25,1.05,4.05,14.1,0.65,0.37999999999999995,0.62,0.62,68.95,0.7118290776446066,0.0,0.0,0.318,4.131,-0.09675
message,27,55.3,40.55,21.9,32.25,1.15,4.15,14.25,0.3,0.395117540687161,0.6048824593128391,0.604882459312839,68.6,0.7125717266562337,0.0,0.0,0.3245,4.2875,-0.0695
message,28,55.6,40.0,21.35,33.2,1.05,4.4,14.6,0.55,0.38758992805755393,0.612410071942446,0.612410071942446,67.5,0.7003138075313808,0.0,0.0,0.311,4.4355,-0.093
message,29,56.5,39.05,20.8,34.65,1.05,4.45,15.05,0.5,0.38761061946902653,0.6123893805309735,0.6123893805309735,67.75,0.7038199895342753,0.0,0.0,0.316,4.5795,-0.07375
message,30,55.6,39.8,19.3,35.15,1.15,4.6,15.2,0.65,0.362410071942446,0.637589928057554,0.637589928057554,69.3,0.7196016771488469,0.0,0.0,0.3015,4.709,-0.11175
message,31,53.25,42.0,17.9,34.25,1.1,4.75,15.65,0.55,0.3483568075117371,0.651643192488263,0.6516431924882629,69.9,0.7280839895013123,0.0,0.0,0.312,4.831,-0.08975
message,32,52.25,42.85,18.95,32.15,1.15,4.9,16.0,0.55,0.35311004784688993,0.64688995215311,0.6468899521531101,68.7,0.7166140904311252,0.0,0.0,0.313,4.9615,-0.08425
message,33,53.3,41.65,20.7,31.5,1.1,5.05,16.65,0.55,0.38461538461538464,0.6153846153846154,0.6153846153846154,67.45,0.7045813586097948,0.0,0.0,0.317,5.1065,-0.0965
message,34,54.4,40.5,21.3,31.65,1.45,5.1,17.15,0.55,0.39797794117647056,0.6020220588235294,0.6020220588235294,66.45,0.6944151738672287,0.0,0.0,0.307,5.251,-0.10925
message,35,54.6,40.3,20.6,32.35,1.65,5.1,17.35,0.3,0.37454212454212454,0.6254578754578755,0.6254578754578755,68.3,0.7165437302423603,0.0,0.0,0.3085,5.392,-0.0915
message,36,55.1,39.6,21.85,31.5,1.75,5.3,17.55,0.4,0.3738656987295826,0.6261343012704174,0.6261343012704175,67.75,0.7111932418162618,0.0,0.0,0.3025,5.5395,-0.09675
message,37,54.3,40.2,21.1,31.5,1.7,5.5,17.9,0.3,0.3793738489871087,0.6206261510128914,0.6206261510128913,68.3,0.7195767195767195,0.0,0.0,0.3135,5.674,-0.09225
message,38,51.6,42.4,18.85,31.55,1.2,6.0,18.1,0.4,0.3517441860465116,0.6482558139534884,0.6482558139534884,68.85,0.7281914893617022,0.0,0.0,0.3115,5.7985,-0.095
