type,steps,infected,healthy,asymptomatic,mild,critical,deceased,vaccinated,forced_quarantine,violation,isolation,robustness,stay_home,voluntarily_stay_home_infected,self_directed_emotion,other_directed_emotion,desire_satisfaction,total_number_infections,reward
sanctioning,1,18.0,82.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,0.3,0.0,0.0,0.33,0.3,-0.26
sanctioning,2,71.4,28.6,60.3,11.05,0.05,0.0,1.65,0.0,0.8753501400560223,0.12464985994397759,0.12464985994397759,14.55,0.14550000000000002,0.0,0.0,0.3165,0.877,-0.3
sanctioning,3,47.1,52.9,16.1,30.9,0.1,0.0,2.4,0.45,0.0732484076433121,0.9267515923566878,0.9267515923566879,83.45,0.83,0.0,0.0,0.332,0.9045,-0.119
sanctioning,4,61.15,38.85,30.35,29.9,0.9,0.0,5.1,0.45,0.5102207686017989,0.4897792313982011,0.4897792313982011,56.35,0.5589999999999999,0.0,0.0,0.3175,1.147,-0.142
sanctioning,5,52.2,47.6,18.45,32.55,1.2,0.2,6.05,0.85,0.24137931034482757,0.7586206896551724,0.7586206896551724,75.6,0.7489979959919839,0.0,0.0,0.337,1.2505,-0.049
sanctioning,6,57.5,42.1,24.55,32.0,0.95,0.4,7.75,0.7,0.41304347826086957,0.5869565217391305,0.5869565217391305,65.2,0.6475903614457832,0.0,0.0,0.3225,1.4345,-0.117
sanctioning,7,52.45,47.1,17.3,33.75,1.4,0.45,8.65,0.65,0.25357483317445184,0.746425166825548,0.7464251668255482,74.65,0.7433450527373179,0.0,0.0,0.324,1.544,-0.102
sanctioning,8,53.25,46.05,20.2,31.85,1.2,0.7,9.9,0.8,0.352112676056338,0.647887323943662,0.647887323943662,68.75,0.6842900302114804,0.0,0.0,0.33,1.6975,-0.1065
sanctioning,9,53.6,45.6,20.8,31.5,1.3,0.8,10.7,0.8,0.3414179104477612,0.6585820895522387,0.6585820895522388,69.9,0.6965725806451613,0.0,0.0,0.331,1.8545,-0.079
sanctioning,10,53.1,45.95,19.8,31.95,1.35,0.95,11.4,0.5,0.3229755178907721,0.6770244821092279,0.6770244821092278,71.2,0.7137809187279152,0.0,0.0,0.343,1.9965,-0.0695
sanctioning,11,52.0,46.85,19.05,31.7,1.25,1.15,11.95,0.5,0.32019230769230766,0.6798076923076923,0.6798076923076923,69.9,0.7020738492665656,0.0,0.0,0.3105,2.136,-0.129
sanctioning,12,53.2,45.3,19.75,32.45,1.0,1.5,12.9,0.25,0.3298872180451128,0.6701127819548871,0.6701127819548872,68.45,0.6923857868020304,0.0,0.0,0.3265,2.2815,-0.087
sanctioning,13,52.85,45.55,18.6,32.8,1.45,1.6,13.7,0.2,0.2961210974456008,0.7038789025543993,0.7038789025543992,70.9,0.7184959349593496,0.0,0.0,0.3405,2.408,-0.053
sanctioning,14,53.65,44.45,18.65,33.5,1.5,1.9,14.9,0.35,0.32152842497670087,0.6784715750232991,0.6784715750232991,69.95,0.709480122324159,0.0,0.0,0.331,2.544,-0.0945
sanctioning,15,56.05,41.6,21.05,33.65,1.35,2.35,15.3,0.45,0.3300624442462088,0.6699375557537912,0.6699375557537912,69.9,0.7112135176651305,0.0,0.0,0.3355,2.6955,-0.0645
